last_name,first_name,isbn10,title,flipkart_price_usd,flipkart_rating,flipkart_ratings_count
Bryan,Peterson,1607748509, Understanding Exposure- Fourth Edition,9,4.6,18
Doug,Harman,1786481324, The Digital Photography Handbook,6, , 
Viktor,Mayer-Schonberger,1848547927, Big Data,4,4.3,64
Ang,Tom,1409346455, Photography: The Definitive Visual History,23,4.5,2
Ankit,Fadia,9385152459, Stretch Your Technology Email,1,3.9,17
Angela,Pierce,1681858711, Digital Photography For Beginners,5, , 
Fisher,Adam,1538714493, Valley Of Genius - The Uncensored History Of Silicon Valley,6,4.6,7
Satish,Deodhar,8184001630, Iima,2,4.4,1706
Raghuram,Rajan,9352770145, I Do What I Do,6,4.6,2416
Roopa,Pai,8129145197, So You Want To Know About Economics,1,4.4,172
Rajan,Raghuram,9350291738, Fault Lines,4,4.6,438
Gopal,Sunder,9312146440, Ugc Net Economics,5,3.8,91
Experts,Arihant,9313166046, 15 Sample Question Papers Economics Class 12 Cbse,2,4.6,103
,unknown,9388026586, 24 Years Upsc Ias/ Ips Prelims Topic-Wise Solved Papers 1 & 2 (1995-2018),4,4.5,2348
,unknown,9312148389, All In One Economics Class 11Th,4,4.2,157
